model,epoch,shallow_water,com_ns,incom_ns,incom_ns_arena,cfdbench,incom_ns_arena_u
prose,12,0.522,3.687,16.316,18.987,1.245,15.988
prose,13,0.514,3.845,15.156,18.285,1.047,15.606
prose,14,0.453,3.759,15.005,17.860,0.800,15.124
prose,15,0.514,3.806,14.829,17.549,0.940,14.858
prose,16,0.478,3.859,13.913,17.507,0.974,14.843
prose,17,0.476,3.925,13.660,17.251,0.964,14.555
prose,18,0.492,3.880,13.287,16.586,0.925,14.155
prose,19,0.539,3.859,14.388,16.515,1.189,13.959
prose,20,0.384,3.823,12.999,16.055,0.758,13.567
prose,21,0.477,3.901,12.733,16.182,0.708,13.564
prose,22,0.349,3.928,12.079,15.600,0.836,12.999
prose,23,0.352,3.896,12.113,15.388,0.663,12.969
prose,24,0.387,3.952,11.723,15.437,0.589,12.818
prose,25,0.349,3.988,11.737,15.009,0.640,12.583
prose,26,0.364,3.921,11.456,15.260,0.736,12.605
prose,27,0.331,3.792,11.002,14.813,0.487,12.238
prose,28,0.349,3.773,11.117,14.599,0.578,12.019
prose,29,0.312,3.872,11.016,14.377,0.500,11.978
prose,30,0.293,3.878,10.711,14.331,0.526,11.946
prose,31,0.293,3.948,10.854,14.212,0.557,11.716
prose,32,0.342,3.785,10.289,13.996,0.461,11.700
prose,33,0.297,3.861,10.154,14.007,0.437,11.509
prose,34,0.283,3.867,9.843,13.741,0.579,11.352
prose,35,0.324,3.837,9.792,13.824,0.480,11.465
prose,36,0.279,3.986,9.868,13.560,0.675,11.130
prose,37,0.292,3.736,9.561,13.655,0.466,11.201
prose,38,0.256,3.889,9.335,13.360,0.338,11.004
prose,39,0.247,3.781,9.381,13.342,0.493,10.995
prose,40,0.247,3.869,9.205,13.017,0.395,10.665
prose,41,0.250,3.793,9.082,12.912,0.321,10.715
prose,42,0.251,3.824,8.973,12.810,0.358,10.505
prose,43,0.257,3.862,8.990,12.914,0.385,10.517
prose,44,0.235,3.800,8.797,12.716,0.299,10.363
prose,45,0.238,3.816,8.703,12.732,0.305,10.360
prose,46,0.240,3.838,8.578,12.495,0.339,10.224
prose,47,0.234,3.819,8.526,12.447,0.320,10.253
prose,48,0.231,3.818,8.460,12.403,0.336,10.107
prose,49,0.224,3.794,8.370,12.247,0.310,10.007
prose,50,0.224,3.775,8.307,12.227,0.284,9.976
prose,51,0.221,3.820,8.269,12.161,0.330,9.942
prose,52,0.227,3.797,8.158,12.056,0.328,9.861
prose,53,0.221,3.824,8.128,12.112,0.277,9.859
prose,54,0.220,3.788,8.125,11.982,0.264,9.751
prose,55,0.218,3.777,7.993,11.922,0.287,9.680
prose,56,0.216,3.772,7.938,11.895,0.233,9.645
prose,57,0.215,3.789,7.898,11.787,0.239,9.603
prose,58,0.214,3.765,7.849,11.813,0.271,9.606
prose,59,0.210,3.769,7.840,11.701,0.222,9.512
prose,60,0.212,3.774,7.783,11.671,0.224,9.499
prose,61,0.211,3.755,7.726,11.663,0.245,9.468
